id,product_name,buyer_cost,seller_cost,buyer_target,seller_target,buyer_emotion,seller_emotion,success,turns,savings,reward
0,Verizon Car Charger with Dual Output Micro USB and LED Light,10,7,7,10,neutral,anger,True,5,0.6000000000000002,0.22993457600235306
0,Verizon Car Charger with Dual Output Micro USB and LED Light,10,7,7,10,neutral,disgust,True,6,0.6166666666666666,0.22088817946668599
0,Verizon Car Charger with Dual Output Micro USB and LED Light,10,7,7,10,neutral,fear,True,6,0.6166666666666666,0.22088817946668599
0,Verizon Car Charger with Dual Output Micro USB and LED Light,10,7,7,10,neutral,happy,True,5,0.6000000000000002,0.22993457600235306
0,Verizon Car Charger with Dual Output Micro USB and LED Light,10,7,7,10,neutral,sad,True,5,0.6000000000000002,0.22993457600235306
0,Verizon Car Charger with Dual Output Micro USB and LED Light,10,7,7,10,neutral,surprise,True,5,0.4166666666666667,0.15967678889052292
0,Verizon Car Charger with Dual Output Micro USB and LED Light,10,7,7,10,neutral,neutral,True,5,0.6000000000000002,0.22993457600235306
1,Long board custom bilt from the board up,200,119,120,200,anger,anger,True,6,0.5925925925925926,0.21226491720522378
1,Long board custom bilt from the board up,200,119,120,200,anger,disgust,True,6,0.5802469135802469,0.20784273143011497
1,Long board custom bilt from the board up,200,119,120,200,anger,fear,True,5,0.6172839506172839,0.23655820576373762
1,Long board custom bilt from the board up,200,119,120,200,anger,happy,True,6,0.5925925925925926,0.21226491720522378
1,Long board custom bilt from the board up,200,119,120,200,anger,sad,True,5,0.6172839506172839,0.23655820576373762
1,Long board custom bilt from the board up,200,119,120,200,anger,surprise,True,6,0.5802469135802469,0.20784273143011497
1,Long board custom bilt from the board up,200,119,120,200,anger,neutral,True,6,0.5925925925925926,0.21226491720522378
1,Long board custom bilt from the board up,200,119,120,200,disgust,anger,True,7,0.4567901234567901,0.15505908203047955
1,Long board custom bilt from the board up,200,119,120,200,disgust,disgust,True,6,0.5555555555555556,0.1989983598798973
1,Long board custom bilt from the board up,200,119,120,200,disgust,fear,True,6,0.5925925925925926,0.21226491720522378
1,Long board custom bilt from the board up,200,119,120,200,disgust,happy,True,6,0.5925925925925926,0.21226491720522378
1,Long board custom bilt from the board up,200,119,120,200,disgust,sad,True,7,0.5802469135802469,0.19696694203871729
1,Long board custom bilt from the board up,200,119,120,200,disgust,surprise,True,6,0.5925925925925926,0.21226491720522378
1,Long board custom bilt from the board up,200,119,120,200,disgust,neutral,True,6,0.5925925925925926,0.21226491720522378
1,Long board custom bilt from the board up,200,119,120,200,fear,anger,True,6,0.4567901234567901,0.16362087367902667
1,Long board custom bilt from the board up,200,119,120,200,fear,disgust,True,6,0.5308641975308642,0.19015398832967964
1,Long board custom bilt from the board up,200,119,120,200,fear,fear,True,6,0.5308641975308642,0.19015398832967964
1,Long board custom bilt from the board up,200,119,120,200,fear,happy,True,6,0.5308641975308642,0.19015398832967964
1,Long board custom bilt from the board up,200,119,120,200,fear,sad,True,6,0.5308641975308642,0.19015398832967964
1,Long board custom bilt from the board up,200,119,120,200,fear,surprise,True,6,0.4691358024691358,0.1680430594541355
1,Long board custom bilt from the board up,200,119,120,200,fear,neutral,True,6,0.5308641975308642,0.19015398832967964
1,Long board custom bilt from the board up,200,119,120,200,happy,anger,True,5,0.4691358024691358,0.1797842363804406
1,Long board custom bilt from the board up,200,119,120,200,happy,disgust,True,6,0.4444444444444444,0.15919868790391783
1,Long board custom bilt from the board up,200,119,120,200,happy,fear,True,6,0.5185185185185185,0.1857318025545708
1,Long board custom bilt from the board up,200,119,120,200,happy,happy,True,6,0.5185185185185185,0.1857318025545708
1,Long board custom bilt from the board up,200,119,120,200,happy,sad,True,6,0.5308641975308642,0.19015398832967964
1,Long board custom bilt from the board up,200,119,120,200,happy,surprise,True,6,0.5061728395061729,0.181309616779462
1,Long board custom bilt from the board up,200,119,120,200,happy,neutral,True,6,0.5185185185185185,0.1857318025545708
1,Long board custom bilt from the board up,200,119,120,200,sad,anger,True,6,0.5185185185185185,0.1857318025545708
1,Long board custom bilt from the board up,200,119,120,200,sad,disgust,True,6,0.5185185185185185,0.1857318025545708
1,Long board custom bilt from the board up,200,119,120,200,sad,fear,True,6,0.5432098765432098,0.19457617410478847
1,Long board custom bilt from the board up,200,119,120,200,sad,happy,True,5,0.5555555555555556,0.21290238518736387
1,Long board custom bilt from the board up,200,119,120,200,sad,sad,True,6,0.5432098765432098,0.19457617410478847
1,Long board custom bilt from the board up,200,119,120,200,sad,surprise,True,6,0.5925925925925926,0.21226491720522378
1,Long board custom bilt from the board up,200,119,120,200,sad,neutral,True,6,0.5925925925925926,0.21226491720522378
1,Long board custom bilt from the board up,200,119,120,200,surprise,anger,True,7,0.5802469135802469,0.19696694203871729
1,Long board custom bilt from the board up,200,119,120,200,surprise,disgust,True,7,0.5802469135802469,0.19696694203871729
1,Long board custom bilt from the board up,200,119,120,200,surprise,fear,True,6,0.5802469135802469,0.20784273143011497
1,Long board custom bilt from the board up,200,119,120,200,surprise,happy,True,6,0.5061728395061729,0.181309616779462
1,Long board custom bilt from the board up,200,119,120,200,surprise,sad,True,6,0.5185185185185185,0.1857318025545708
1,Long board custom bilt from the board up,200,119,120,200,surprise,surprise,True,6,0.4444444444444444,0.15919868790391783
1,Long board custom bilt from the board up,200,119,120,200,surprise,neutral,True,6,0.5802469135802469,0.20784273143011497
1,Long board custom bilt from the board up,200,119,120,200,neutral,anger,True,5,0.43209876543209874,0.16559074403461635
1,Long board custom bilt from the board up,200,119,120,200,neutral,disgust,True,6,0.5802469135802469,0.20784273143011497
1,Long board custom bilt from the board up,200,119,120,200,neutral,fear,True,6,0.5432098765432098,0.19457617410478847
1,Long board custom bilt from the board up,200,119,120,200,neutral,happy,True,6,0.4691358024691358,0.1680430594541355
1,Long board custom bilt from the board up,200,119,120,200,neutral,sad,True,6,0.5185185185185185,0.1857318025545708
1,Long board custom bilt from the board up,200,119,120,200,neutral,surprise,True,5,0.49382716049382713,0.1892465646109901
1,Long board custom bilt from the board up,200,119,120,200,neutral,neutral,True,6,0.5185185185185185,0.1857318025545708
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,anger,anger,True,8,0.5484114977307111,0.17808797157147932
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,anger,disgust,True,7,0.40468986384266264,0.13737345790143582
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,anger,fear,True,9,0.5181543116490166,0.1620637834833357
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,anger,happy,True,8,0.5597579425113465,0.18177255029364786
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,anger,sad,True,7,0.43116490166414523,0.1463605065491933
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,anger,surprise,True,9,0.546142208774584,0.17081759368608523
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,anger,neutral,True,8,0.5370650529500757,0.1744033928493108
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,disgust,anger,True,9,0.5559757942511346,0.17389325673029452
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,disgust,disgust,True,9,0.5559757942511346,0.17389325673029452
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,disgust,fear,True,8,0.5597579425113465,0.18177255029364786
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,disgust,happy,True,8,0.5408472012102874,0.1756315857567003
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,disgust,sad,True,8,0.5484114977307111,0.17808797157147932
